city,title,category,level,exp_years,year
Cairo,Junior Software Developer ,Software Engneering,Entry Level,2,2014
Cairo,Application Support Engineer,Software Engneering,Entry Level,2,2014
Cairo,IT Adminstrator,IT Category,Manager,5,2014
6 th of October city,e-payments System Administrator,Software Engneering,Experienced,3,2014
Cairo,Senior Software Engineer,Software Engneering,Experienced,2,2014
Cairo,Senior Software Tester,Software Engneering,Experienced,3,2014
Cairo,Sr Web Application & Web Designer ,Software Engneering,Experienced,6,2014
Cairo,Titanium Mobile Developer,Software Engneering,Experienced,1,2014
Cairo,ERP IT Manager,IT Category,Manager,5,2014
Cairo,Quality Assurance & Process Improvement Team Leader,Software Engneering,Experienced,7,2014
Cairo,Lead Software Engineer(.Net),Software Engneering,Experienced,7,2014
Cairo,Web Developer ,Software Engneering,Entry Level,0,2014
Cairo,Senior PHP Developer,Software Engneering,Experienced,7,2014
Cairo,Senior Web Developer,Software Engneering,Experienced,3,2014
Cairo,Enterprise Technical Support Engineer ,Software Engneering,Experienced,3,2014
Cairo,web designer & PHP web developer,Software Engneering,Entry Level,0,2014
Any Location,Java Engineer,Software Engneering,Experienced,2,2014
Cairo,Software Engineer JAVA / J2EE ,Software Engneering,Experienced,4,2014
Cairo,Senior iOS Developer,Software Engneering,Experienced,2,2014
Giza,Senior/Junior Java Developer,Software Engneering,Experienced,5,2014
Cairo,PHP Developer [Ref.P1312],Software Engneering,Experienced,5,2014
Cairo,Software Engineer,Software Engneering,Experienced,2,2014
"Nasr City, Cairo",Senior PHP Developer,Software Engneering,Experienced,3,2014
Cairo,Web developer,Software Engneering,Entry Level,0,2014
6-Oct,Senior .Net Developer,Software Engneering,Experienced,3,2014
Cairo,Java Developer,Software Engneering,Entry Level,1,2014
Cairo,Java Developer,Software Engneering,Entry Level,1,2014
Cairo,Software Quality Engineer ,Software Engneering,Entry Level,1,2014
Cairo,Senior Android Developer ,Software Engneering,Experienced,3,2014
Cairo,Business Analyst,Software Engneering,Experienced,2,2014
Giza,Senior iOS Developer,Software Engneering,Experienced,6,2014
Cairo,Web designer ,Software Engneering,Entry Level,0,2014
6-Oct,Senior .Net Developer,Software Engneering,Experienced,3,2014
Cairo,TOGAF,Software Engneering,Experienced,5,2014
Alexandria,Application Support Engineer ,Software Engneering,Entry Level,0,2014
Cairo,IT Retail Management System Head,IT Category,Manager,10,2014
Cairo,Operations Support Engineer,Software Engneering,Experienced,5,2014
Cairo,Unix Administrator,Software Engneering,Experienced,5,2014
Cairo,Software Development Engineer,Software Engneering,Entry Level,1,2014
Cairo,Sharepoint Developers,Software Engneering,Entry Level,1,2014
Cairo,Business Analyst,Software Engneering,Entry Level,1,2014
Cairo,HTML5 Developer,Software Engneering,Experienced,0,2014
Cairo,PHP Developer,Software Engneering,Entry Level,1,2014
Cairo,SW Tester,Software Engneering,Experienced,3,2014
Cairo,Web Developer,Software Engneering,Entry Level,2,2014
Cairo,Business Intelligence ,Software Engneering,Experienced,2,2014
Cairo,UNIX Systems Engineer,Software Engneering,Experienced,2,2014
Cairo,Microsoft SQL Database Adminstrator,Software Engneering,Experienced,5,2014
October Industrial Zone,Web Designer,Software Engneering,Entry Level,0,2014
Cairo,Lead Software Engineer (CRM),Software Engneering,Experienced,5,2014
Cairo,Senior .NET Developer,Software Engneering,Experienced,5,2014
Cairo,Junior .Net Developer ,Software Engneering,Entry Level,0,2014
Cairo,System Administrator ,Software Engneering,Experienced,2,2014
Cairo,System Administrator ,Software Engneering,Experienced,2,2014
Cairo,System Administrator ,Software Engneering,Experienced,2,2014
Cairo,System Administrator ,Software Engneering,Experienced,2,2014
Cairo,System Administrator ,Software Engneering,Experienced,2,2014
Cairo,System Administrator ,Software Engneering,Experienced,2,2014
Cairo,System Administrator ,Software Engneering,Experienced,2,2014
Cairo,Web Developer,Software Engneering,Experienced,3,2014
Cairo,Senior PHP / Drupal Developer,Software Engneering,Experienced,4,2014
Cairo,Web Designer,Software Engneering,Experienced,3,2014
Cairo,Senior iOS Developer,Software Engneering,Experienced,3,2014
Cairo,Sharepoint Project Manager,Software Engneering,Manager,5,2014
Cairo,Sharepoint Senior Developer/Architect ,Software Engneering,Experienced,6,2014
Giza,Senior iOS Developer,Software Engneering,Experienced,6,2014
Cairo,Operations Support Specialist,Software Engneering,Experienced,4,2014
Cairo,HRMS Application Consultant,Software Engneering,Experienced,4,2014
Cairo,Strategy Architect Administration Specialist,Software Engneering,Experienced,3,2014
Alexandria,Senior / Lead Ruby on Rails developer,Software Engneering,Experienced,4,2014
Cairo,Junior PHP developer,Software Engneering,Entry Level,0,2014
nasr city,Web Project Manager,Software Engneering,Experienced,5,2014
El mahalla el koubra,Mobile Application Developer ,Software Engneering,Experienced,3,2014
El mahalla el koubra,.NET Web Developer ,Software Engneering,Experienced,3,2014
Cairo,Senior Business Intelligence Developer,Software Engneering,Experienced,4,2014
Cairo,Senior DWH and Data Integration Developer ,Software Engneering,Experienced,5,2014
Cairo,Software Developer,Software Engneering,Entry Level,0,2014
Cairo,Unix System Engineer,Software Engneering,Experienced,3,2014
Cairo,Technical Support,Software Engneering,Experienced,2,2014
Cairo,IT Support,IT Category,Entry Level,1,2014
Cairo,IT Technical Support,IT Category,Experienced,1,2014
Cairo,Web Developer ,Software Engneering,Experienced,4,2014
Cairo,Software Developer,Software Engneering,Entry Level,0,2014
nasr city,PHP Developer,Software Engneering,Experienced,4,2014
Cairo,Junior PHP Developer,Software Engneering,Entry Level,0,2014
Cairo,Senior PHP Developer,Software Engneering,Experienced,5,2014
Cairo,PHP Developer,Software Engneering,Experienced,2,2014
Cairo,Java Developer,Software Engneering,Experienced,1,2014
Cairo,Senior Android Developer,Software Engneering,Experienced,2,2014
Cairo,Senior IOS Developer,Software Engneering,Experienced,3,2014
Giza,Web Developer,Software Engneering,Experienced,5,2014
Cairo,IT Support Specialist,IT Category,Entry Level,3,2014
Cairo,"Software Developer (.NET, SharePoint)",Software Engneering,Experienced,5,2014
Cairo,Application Programmer ,Software Engneering,Entry Level,3,2014
Cairo,Software Developer SharePoint,Software Engneering,Experienced,4,2014
Mansoura,.Net Developer,Software Engneering,Experienced,6,2014
Cairo,iOS Developer ,Software Engneering,Experienced,5,2014
Cairo,Web Developer,Software Engneering,Experienced,5,2014
Cairo,Frontend Developer,Software Engneering,Experienced,3,2014
Cairo,Web Developer,Software Engneering,Experienced,5,2014
Cairo,Senior Web Developer / Tech Lead,Software Engneering,Experienced,5,2014
Cairo,SAP Business Intelligence Consultant,Software Engneering,Experienced,4,2014
Cairo,Web Apps Coder ,Software Engneering,Experienced,2,2014
Cairo,Web Developer,Software Engneering,Experienced,3,2014
Cairo,Network Administrator,Software Engneering,Experienced,5,2014
Cairo,IT Help Desk Clerk ,IT Category,Experienced,2,2014
Cairo,Cross Platform Mobile Developer ,Software Engneering,Experienced,3,2014
Cairo - New Cairo,Senior Java SOA Developer ,Software Engneering,Experienced,4,2014
Cairo,IT section head,IT Category,Manager,5,2014
Cairo,Technical Account Manager ,Software Engneering,Experienced,1,2014
Cairo,UI/UX Designer ,Software Engneering,Experienced,1,2014
Cairo,Junior Software Engineer,Software Engneering,Entry Level,0,2014
Cairo,Software Tester,Software Engneering,Experienced,0,2014
Giza,PHP Developer,Software Engneering,Experienced,2,2014
Giza,iOS Developer,Software Engneering,Experienced,2,2014
Cairo,"PHP, Android &iOS Developer",Software Engneering,Experienced,5,2014
Cairo,Senior Web Developer,Software Engneering,Experienced,6,2014
Cairo,Technical IT Instructor,IT Category,Experienced,3,2014
Cairo,Software Engineer Python,Software Engneering,Experienced,3,2014
Cairo,Support Analyst,Software Engneering,Experienced,1,2014
Cairo,Senior .NET Developer,Software Engneering,Experienced,5,2014
Cairo,Junior .Net Developer ,Software Engneering,Entry Level,0,2014
Cairo,Senior Software Architect (Microsoft),Software Engneering,Experienced,7,2014
Cairo,Senior Data Architect,Software Engneering,Experienced,7,2014
Cairo,Senior Data Architect,Software Engneering,Experienced,7,2014
Cairo,Software Team Leader (.NET),Software Engneering,Experienced,5,2014
Cairo,Senior Software Developer (.NET),Software Engneering,Experienced,3,2014
Cairo,Software Developer (.NET),Software Engneering,Experienced,1,2014
Cairo,Branches Technical Support,Software Engneering,Entry Level,1,2014
Cairo,Senior Software Developer (JAVA/FLEX),Software Engneering,Experienced,3,2014
Cairo,Senior Software Developer (GIS),Software Engneering,Experienced,3,2014
Cairo,Software Developer,Software Engneering,Entry Level,0,2014
Cairo,Ruby on Rails Developer,Software Engneering,Experienced,2,2014
Cairo,iOS Developer,Software Engneering,Experienced,5,2014
Cairo,Junior Web Developer ,Software Engneering,Experienced,2,2014
Cairo,IT Section Head,IT Category,Manager,5,2014
Giza,Backend Developer,Software Engneering,Experienced,2,2014
Giza,Android Developer,Software Engneering,Experienced,2,2014
Cairo,.Net Development Team Leader,Software Engneering,Experienced,7,2014
Giza,Senior / Junior User Interface Developer,Software Engneering,Experienced,3,2014
Cairo,Java Developer,Software Engneering,Experienced,4,2014
Giza,"Senior SQL Developer ""Backend"" ",Software Engneering,Experienced,5,2014
Giza,Web Developer,Software Engneering,Experienced,2,2014
Cairo,ECM Technical Specialist,Software Engneering,Experienced,3,2014
Cairo,Unix/Linux Admin,Software Engneering,Experienced,6,2014
Cairo,Microsoft Systems Engineer (Infrastructure),Software Engneering,Experienced,4,2014
