title,company_name,location,exp_years,city,level,time,category,year
Business Development Specialist - Upper Egypt,golden,"Aswan, Egypt",2,Aswan,Experienced,Full Time,Software Engneering,2021
Senior/Intermediate .NET Core Developer (Remote...,Confidential,"Cairo, Egypt",4,Cairo,Experienced,Full Time,Software Engneering,2021
Senior Software Developer,Bnsights,"New Cairo, Cairo",6,New Cairo,Experienced,Full Time,Software Engneering,2021
Software Developer / Desktop Development,ITS,"Nasr City, Cairo",0,Nasr City,Entry Level,Full Time,Software Engneering,2021
Senior Software Developer -Dynamics 365...,CrossWorkers,"New Cairo, Cairo",4,New Cairo,Experienced,Full Time,Software Engneering,2021
Vodafone Egypt Customer Care Advisor,Vodafone Egypt,"Maadi, Cairo",0,Maadi,Entry Level,Full Time,Software Engneering,2021
Senior Software Developer - Java,CrossWorkers,"New Cairo, Cairo",4,New Cairo,Experienced,Full Time,Software Engneering,2021
Software Developer - As/400 Developer,Target Recruitment  & HR Solutions,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2021
IT Developer,Confidential,"New Cairo, Cairo",2,New Cairo,Experienced,Full Time,IT Category,2021
Software Developer (AWS Serverless),FlairsTech,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2021
Senior Software Developer – C# + Blazor,CrossWorkers,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2021
Software Developer,BPOHIVE,"Cairo, Egypt",1,Cairo,Entry Level,Full Time And Part Time,Software Engneering,2021
Senior Software Developer,Saudisoft,"Mohandessin, Giza",4,Mohandessin,Experienced,Full Time,Software Engneering,2021
Software Developer (Gupta Programming),ITS,"Nasr City, Cairo",1,Nasr City,Entry Level,Full Time,Software Engneering,2021
Software Web Tester,ProfileTree,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
Software Business Development Executive,Restart Technology,"Heliopolis, Cairo",2,Heliopolis,Experienced,Full Time,Software Engneering,2021
Software Business Development Executive,intrazero,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2021
Senior Software Developer,AHCC,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2021
Software Developer – Backend,Confidential,"6th Of October, Giza",1,6th Of October,Entry Level,Full Time,Software Engneering,2021
Software Developer – Frontend,Confidential,"6th Of October, Giza",1,6th Of October,Entry Level,Full Time,Software Engneering,2021
Software Engineer,Mitcha,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
Software Developer,IOP,"Heliopolis, Cairo",2,Heliopolis,Entry Level,Internship,Software Engneering,2021
Software Developer - CRM,Veripark,"Maadi, Cairo",5,Maadi,Experienced,Full Time,Software Engneering,2021
Associate Software Developer - CRM,Veripark,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
Software Developer,HITS Technologies,"Nasr City, Cairo",1,Nasr City,Entry Level,Full Time,Software Engneering,2021
Java Software Developer,Tawzef,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
