title,company_name,exp_years,location,city,level,time,category,year
Sales Supervisor - North Upper Egypt,PepsiCo International,1,"Beni Suef, Egypt",Beni Suef,Manager,Full Time,Software Engneering,2020
Junior Technical Support Engineer - Upper Egypt,MigrationIT.com,1,"Assiut, Egypt",Assiut,Entry Level,Full Time,Software Engneering,2020
Software Developer,Rednet It Services,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Software Quality Control Engineer,Bnsights,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior E-Commerce Software Developer (Magento 2),shop4build,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Software Developer,Interact Technology Solutions,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Software Developer,BlueCloud,3,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
Software Quality Control Engineer,Bnsights,0,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Senior Software Developer,BlueCloud,3,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
Software Development Manager,Nahdet Misr Publishing Group,10,"Mohandessin, Giza",Mohandessin,Manager,Full Time,Software Engneering,2020
Software Developer,Bnsights,0,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Sales Supervisor - South Upper Egypt,PepsiCo International,1,"Aswan, Egypt",Aswan,Manager,Full Time,Software Engneering,2020
ERP Sales Professional - For Egypt and Saudi...,OdooTec,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Sales Supervisor - North Upper Egypt,PepsiCo International,1,"Beni Suef, Egypt",Beni Suef,Manager,Full Time,Software Engneering,2020
Software Development Manager,Nahdet Misr Publishing Group,10,"Mohandessin, Giza",Mohandessin,Manager,Full Time,Software Engneering,2020
ERP Sales Professional - For Egypt and Saudi...,OdooTec,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior Software Developer – “.Net Core” (4-6...,CrossWorkers,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior Software Developer (Embedded C++),CrossWorkers,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Software Developer,Rashideen Egypt for Trade,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Software Developer,AIESEC - MANSOURA,1,"Itajuba, Brazil",Itajuba,Entry Level,Internship,Software Engneering,2020
Senior E-Commerce Software Developer (Magento 2),shop4build,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Software Implementation Specialist,Informatique Education,1,"Nasr City, Cairo",Nasr City,Entry Level,Full Time,Software Engneering,2020
Software Developer,Interact Technology Solutions,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Software Developer,Bnsights,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Software Quality Control Engineer,Bnsights,0,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Senior Software Developer – “.Net Core” (4-6...,CrossWorkers,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Junior Technical Support Engineer - Upper Egypt,MigrationIT.com,1,"Assiut, Egypt",Assiut,Entry Level,Full Time,Software Engneering,2020
Software Developer,Bnsights,0,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Software Developer,Rashideen Egypt for Trade,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Software Developer,Rednet It Services,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Magento Software Developer,Interact Technology Solutions,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Software Developer,AIESEC - MANSOURA,1,"Itajuba, Brazil",Itajuba,Entry Level,Internship,Software Engneering,2020
Sales Supervisor - South Upper Egypt,PepsiCo International,1,"Aswan, Egypt",Aswan,Manager,Full Time,Software Engneering,2020
Senior Software Quality Control Engineer,Bnsights,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Vodafone Egypt Customer Care Advisor,Vodafone Egypt,0,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Senior Software Developer,Bnsights,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Software Implementation Specialist,Informatique Education,1,"Nasr City, Cairo",Nasr City,Entry Level,Full Time,Software Engneering,2020
Vodafone Egypt Customer Care Advisor,Vodafone Egypt,0,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Senior Software Developer (Embedded C++),CrossWorkers,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Magento Software Developer,Interact Technology Solutions,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
IT Manager,Al Andalous Medical Company,10,"6th Of October, Giza",6th Of October,Manager,Full Time,IT Category,2020
IT Help Desk Specialist,Unknown,1,"Cairo, Egypt",Cairo,Entry Level,Full Time,IT Category,2020
IT Help Desk Engineer - Nile Badrawi Hospital,Cleopatra Hospitals Group,2,"Maadi, Cairo",Maadi,Experienced,Full Time,IT Category,2020
IT Technical Support Specialist,The Egyptian Company For Prestressed Concrete,2,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Experienced,Full Time,IT Category,2020
IT Technical Support Specialist,Unknown,1,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Entry Level,Full Time,IT Category,2020
IT Manager,Expand Cart,6,"Cairo, Egypt",Cairo,Manager,Full Time,IT Category,2020
IT Team Leader,World Business Fitness,5,"New Cairo, Cairo",New Cairo,Manager,Full Time,IT Category,2020
Assistant IT Manager - Alexandria,Paradise Inn Hotels & Resorts,7,"Mahta Alraml, Alexandria",Mahta Alraml,Manager,Full Time,IT Category,2020
IT Specialist,La-Verde Real Estate,2,"Sheraton, Cairo",Sheraton,Experienced,Full Time,IT Category,2020
IT Operations Team Leader,Union Group,5,"Obour City, Cairo",Obour City,Manager,Full Time,IT Category,2020
IT programming Intern (.Net) - Seven,AIESEC - MANSOURA,5,"Uberlandia, Brazil",Uberlandia,Entry Level,Internship,IT Category,2020
Senior Java Spring Developer,Digital Force,5,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
IT Help Desk Specialist,E3mel Business for Financial & Managerial Consultancy,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,IT Category,2020
IT Manager/ Project Manager,Unknown,5,"Maadi, Cairo",Maadi,Manager,Full Time,IT Category,2020
IT Specialist,London International Patient Services,1,"Sheraton, Cairo",Sheraton,Entry Level,Full Time,IT Category,2020
IT Help Desk,Unknown,1,"Obour City, Cairo",Obour City,Entry Level,Full Time,IT Category,2020
Head Of Sales (IT Background),Premier Services and Recruitment,10,"New Cairo, Cairo",New Cairo,Manager,Full Time,IT Category,2020
