title,exp_years,city,level,category,year
Business Development Specialist - Upper Egypt,2,Aswan,Experienced,Software Engneering,2021
Senior/Intermediate .NET Core Developer (Remote...,4,Cairo,Experienced,Software Engneering,2021
Senior Software Developer,6,New Cairo,Experienced,Software Engneering,2021
Software Developer / Desktop Development,0,Nasr City,Entry Level,Software Engneering,2021
Senior Software Developer -Dynamics 365...,4,New Cairo,Experienced,Software Engneering,2021
Vodafone Egypt Customer Care Advisor,0,Maadi,Entry Level,Software Engneering,2021
Senior Software Developer - Java,4,New Cairo,Experienced,Software Engneering,2021
Software Developer - As/400 Developer,5,Cairo,Experienced,Software Engneering,2021
IT Developer,2,New Cairo,Experienced,IT Category,2021
Software Developer (AWS Serverless),1,Maadi,Entry Level,Software Engneering,2021
Senior Software Developer – C# + Blazor,3,New Cairo,Experienced,Software Engneering,2021
Software Developer,1,Cairo,Entry Level,Software Engneering,2021
Senior Software Developer,4,Mohandessin,Experienced,Software Engneering,2021
Software Developer (Gupta Programming),1,Nasr City,Entry Level,Software Engneering,2021
Software Web Tester,2,Cairo,Experienced,Software Engneering,2021
Software Business Development Executive,2,Heliopolis,Experienced,Software Engneering,2021
Software Business Development Executive,2,Nasr City,Experienced,Software Engneering,2021
Senior Software Developer,4,Nasr City,Experienced,Software Engneering,2021
Software Developer – Backend,1,6th Of October,Entry Level,Software Engneering,2021
Software Developer – Frontend,1,6th Of October,Entry Level,Software Engneering,2021
Software Engineer,2,Maadi,Experienced,Software Engneering,2021
Software Developer,2,Heliopolis,Entry Level,Software Engneering,2021
Software Developer - CRM,5,Maadi,Experienced,Software Engneering,2021
Associate Software Developer - CRM,3,Cairo,Experienced,Software Engneering,2021
Software Developer,1,Nasr City,Entry Level,Software Engneering,2021
Java Software Developer,2,Cairo,Experienced,Software Engneering,2021
Senior Full Stack Software Developer,5,Maadi,Experienced,Software Engneering,2021
Software Developer - Experienced,3,Nasr City,Experienced,Software Engneering,2021
Principal Software Developer - VueJS,4,New Cairo,Experienced,Software Engneering,2021
Senior Software Developer - VB.Net,3,New Cairo,Experienced,Software Engneering,2021
Mid-level Software Developer,3,Alexandria,Experienced,Software Engneering,2021
Software iSeries Developer,5,Cairo,Experienced,Software Engneering,2021
Software Development Engineer / Test SDET...,3,New Cairo,Experienced,Software Engneering,2021
Software Developer (.Net Core),1,Maadi,Entry Level,Software Engneering,2021
Software Java Developer (JPA),1,Smart Village,Entry Level,Software Engneering,2021
Software Testing Engineer,2,New Cairo,Experienced,Software Engneering,2021
Software Developer,2,Nasr City,Experienced,Software Engneering,2021
Senior Software Developer (.NET),5,Cairo,Experienced,Software Engneering,2021
Software Developer - PHP/Open Source,3,Alexandria,Experienced,Software Engneering,2021
Upper Egypt Area Manager (Operations),5,Assiut,Manager,Software Engneering,2021
Senior Software Developer,3,Maadi,Manager,Software Engneering,2021
Senior Software Developer (.Net Core),3,Cairo,Experienced,Software Engneering,2021
Software Developer,3,Maadi,Experienced,Software Engneering,2021
Software Development (Back End .Net) Team Lead,5,New Cairo,Manager,Software Engneering,2021
Software Mobile Developer,1,Sheraton,Entry Level,Software Engneering,2021
Senior Software Developer,5,Cairo,Experienced,Software Engneering,2021
Software Developer,0,Sheraton,Entry Level,Software Engneering,2021
Senior Software Developer,8,Cairo,Experienced,Software Engneering,2021
Senior ADF Software Developer,4,New Cairo,Experienced,Software Engneering,2021
Senior Software Quality Control Engineer,3,New Cairo,Experienced,Software Engneering,2021
Senior Software Engineer C++,2,Nasr City,Experienced,Software Engneering,2021
Software Developer,5,Nasr City,Experienced,Software Engneering,2021
Senior Software Developer,5,6th Of October,Experienced,Software Engneering,2021
Software Engineer - Java Developer,2,Cairo,Experienced,Software Engneering,2021
Software Developer-Iamproperty Team (UK) -...,3,Alexandria,Experienced,Software Engneering,2021
Senior Software Developer,3,New Cairo,Experienced,Software Engneering,2021
Software Developer,14,10th Of Ramadan City,Manager,Software Engneering,2021
IT Manager (Head Of IT) - (World Class...,10,Cairo,Manager,IT Category,2021
Senior Software Developer (Focusing on .NET),2,Maadi,Experienced,Software Engneering,2021
Senior Full Stack Software Developer (Focusing...,3,Maadi,Experienced,Software Engneering,2021
Backend Software Developer,2,New Cairo,Experienced,Software Engneering,2021
Software Business Development Representative...,1,Maadi,Entry Level,Software Engneering,2021
Senior Embedded Software Engineer,5,New Cairo,Experienced,Software Engneering,2021
Software Developer - Front-End (React),1,Nasr City,Entry Level,Software Engneering,2021
Senior Software Testing Engineer,4,Agouza,Experienced,Software Engneering,2021
Software Development Engineer (Machine Learning),0,Sheraton,Entry Level,Software Engneering,2021
Senior Software Developer,5,6th Of October,Experienced,Software Engneering,2021
Senior Quality Control Engineer (Software...,5,New Cairo,Experienced,Software Engneering,2021
IT Director,15,Heliopolis,Manager,IT Category,2021
Senior Software Developer,3,New Cairo,Experienced,Software Engneering,2021
Senior Software Developer – “Angular 8+”,3,New Cairo,Experienced,Software Engneering,2021
IT Technical Support Specialist,4,6th Of October,Experienced,IT Category,2021
Senior Software Developer,3,Sheraton,Experienced,Software Engneering,2021
Software Project Coordinator,2,Assiut,Experienced,Software Engneering,2021
Software Team Leader - .Net Core + Angular,7,New Cairo,Manager,Software Engneering,2021
Software Development Engineer (Test SDET...,3,New Cairo,Experienced,Software Engneering,2021
Senior PHP Developer,3,Heliopolis,Experienced,Software Engneering,2021
IT Business Solutions Specialist,2,Obour City,Experienced,IT Category,2021
IT Help Desk Specialist,3,New Capital,Experienced,IT Category,2021
Senior Java Software Engineer - Jumia,3,Cairo,Experienced,Software Engneering,2021
IT Manager,10,Maadi,Manager,IT Category,2021
Software Engineer Web Developer,2,New Cairo,Experienced,Software Engneering,2021
IT Specialist,1,Abu Rawash,Entry Level,IT Category,2021
IT Specialist,2,Heliopolis,Experienced,IT Category,2021
Java Spring Developer Team Leader,6,Heliopolis,Manager,Software Engneering,2021
IT Manager,12,Dokki,Manager,IT Category,2021
IT Help Desk Specialist,1,10th Of Ramadan City,Entry Level,IT Category,2021
IT Help Desk,1,New Cairo,Entry Level,IT Category,2021
IT Director,5,Nasr City,Manager,IT Category,2021
Market Research Analyst - Software Domain,4,6th Of October,Experienced,Software Engneering,2021
IT Technical Support Engineer,3,Heliopolis,Experienced,IT Category,2021
IT Service Desk Officer,1,New Cairo,Entry Level,IT Category,2021
IT Technical Support Specialist,1,Maadi,Entry Level,IT Category,2021
IT Help Desk Specialist,1,Maadi,Entry Level,IT Category,2021
Java Developer,2,Cairo,Experienced,Software Engneering,2021
IT Specialist,2,Maadi,Experienced,IT Category,2021
IT Academic Coordinator,2,Obour City,Experienced,IT Category,2021
Software Delivery Manager,6,New Cairo,Manager,Software Engneering,2021
Software Business Development Representative...,2,Smouha,Experienced,Software Engneering,2021
Junior IT Specialist,1,Abu Rawash,Entry Level,IT Category,2021
IT System Administrator,3,Nasr City,Experienced,IT Category,2021
IT Specialist,1,New Cairo,Entry Level,IT Category,2021
Software Technical Lead,8,Cairo,Manager,Software Engneering,2021
IT Operation System Specialist,3,Cairo,Experienced,IT Category,2021
IT Technical Support Specialist,2,Heliopolis,Experienced,IT Category,2021
IT Executive,2,Giza,Experienced,IT Category,2021
Human Resources Business Partner (IT Background),5,Dokki,Experienced,IT Category,2021
IT Specialist,4,Sheraton,Experienced,IT Category,2021
IT Support Specialist - Hardware,2,6th Of October,Experienced,IT Category,2021
IT System Administration Engineer- Alexandria,1,Smouha,Entry Level,IT Category,2021
IT Technical Support Specialist,3,Nasr City,Experienced,IT Category,2021
IT Support Engineer,2,Heliopolis,Experienced,IT Category,2021
IT Specialist,1,Cairo,Entry Level,IT Category,2021
IT Team Lead,5,6th Of October,Manager,IT Category,2021
IT Help Desk أخصائي دعم تقني,1,Alkhalifa,Entry Level,IT Category,2021
Software Business Analyst,2,Nasr City,Experienced,Software Engneering,2021
